Agency,Commodity,Supplier,Ordered Date,PO_#,PO Amount,OBJECTID
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,5.19,11182
METROPOLITAN POLICE DEPARTMENT,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",International Business Machine,1-Oct-14,PO505447,37412.97,11183
METROPOLITAN POLICE DEPARTMENT,"1205655:PARTS AND ACCESS., MARINE ENGINE",VideoRay LLC,9-Jan-15,PO513900,42624,11184
OFFICE OF THE CHIEF MEDICAL EXAMINER,9482800:Dental Services,JOSE E. COLON,2-Dec-14,PO511761,3000,11185
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,20-Oct-14,PO507655,24.68,11186
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,Broughton Construction,20-Nov-14,PO510868,69350.64,11187
DEPARTMENT OF GENERAL SERVICES,9184100:Energy Conservation Consulting,"GLOBAL CONSULTING, INC.",2-Mar-15,PO511264-V2,380000,11188
HOMELAND SECURITY/EMERGENCY MANAGEMENT,9157900:Telecommunication Services (Not Otherwise Classified),Roadpost USA Inc,8-Dec-14,PO512180,3528,11189
CHILD AND FAMILY SERVICES AGENCY,9625800:Professional Services (Not Otherwise Classified),FOSTER & ADOPTIVE PARENT ADVOC,1-Oct-14,PO505582,461665.8,11190
OFFICE OF THE ATTORNEY GENERAL,9187500:Management Consulting,AUCTOR CORPORATION,23-Oct-14,PO508163,1405847.52,11191
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,"OLENDER REPORTING, INC.",19-Dec-14,PO510321-V2,25,11192
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9392152:MAINTENANCE, MAINFRAME COMPUTER HARDWARE",Dell Computer Corp.,6-Oct-14,PO506276,3365.01,11193
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,9183000:Computer Network Consulting,"OST, Inc.",4-Nov-14,PO509328,14721.6,11194
DEPT. OF HOUSING AND COMM. DEVELOPMENT,9466000:Loan Administration,Georgia Avenue Redevelopment,24-Oct-14,PO508388,6750000,11195
DEPT. OF HOUSING AND COMM. DEVELOPMENT,5305000:Duffle and Tote Bags,AdBox Promo Agency,12-Jan-15,PO513965,515,11196
DEPARTMENT OF BEHAVIORAL HEALTH,9520500:Alcohol and Drug Detoxification (Incl. Rehabilitation),SALVATION ARMY,1-Oct-14,PO505544,250000,11197
DEPARTMENT OF YOUTH REHABILITATION SVCS,9103957:JANITORIAL/CUSTODIAL SERVICES,Bolana Capitol Enterprises Inc,26-Nov-14,PO511405,14206,11198
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),PREFERRED TEMP SERVICES,16-Oct-14,PO507457,2919.2,11199
DEPARTMENT OF BEHAVIORAL HEALTH,"9182810:CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING",TECHNOSOFT CORPORATION,10-Oct-14,PO507048,75600,11200
DEPARTMENT OF PARKS AND RECREATION,"8051500:Athletic Awards (For Service Type See Class 080): Medals, Plaques, Trophies, etc.",LAMB AWARDS & ENGRAVING T/A J,9-Feb-15,PO515312,1575,11201
DEPARTMENT ON DISABILITY SERVICES,6001400:Braille Writers and Printers,ABACUS-N-BYTES,24-Feb-15,PO514813-V2,40000,11202
DEPARTMENT OF TRANSPORTATION,"9132700:Construction, Highway and Road",FORT MYER CONSTRUCTION CORPORA,17-Dec-14,PO512895,526984.5,11203
DEPUTY MAYOR FOR PLANNING AND ECON DEV,"9612800:Economic Development, Domestic and Foreign","Housing in Transition, Inc.",31-Oct-14,PO509109,185000,11204
DEPUTY MAYOR FOR PLANNING AND ECON DEV,"9614900:Legal Services, Attorneys","BALLARD, SPAHR, ANDREWS &",9-Mar-15,PO516558,2470,11205
FIRE AND EMERGENCY MEDICAL SERVICES,"CLEANER, DISINFECTANT/DEODORIZER, AEROSOL",MORGANS INC,23-Oct-14,PO508261,464,11206
DC PUBLIC LIBRARY,"9065200:Interior Design, Space Planning, and Exhibits/Displays","BELL ARCHITECTS, PC",29-Oct-14,PO490695-V3,32795,11207
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7857660:PAPER, WRITING, NEWS PRINT, FOR USE WITH PENCILS",OFFICE DEPOT,18-Feb-15,PO515752,44.9,11208
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8055135:GAMES, PLAYGROUND",BSN SPORTS,24-Dec-14,PO513354,43.64,11209
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9621600:Bus Transportation Services, School",CAPITOL ENTERTAINMENT,14-Jan-15,PO514164,690,11210
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9621600:Bus Transportation Services, School",CAPITOL ENTERTAINMENT,13-Jan-15,PO514086,475,11211
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"0375242:GIFT SETS, IMPRINTED",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,13-Jan-15,PO514085,100,11212
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"WORKOUT SHORTS, ELASTIC WAISTBAND, 200% POLYESTER",ALGY COSTUMES & UNIFORMS,22-Jan-15,PO514474,2599.8,11213
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2007475:SHIRTS, TEE, ASSORTED SPORT SCREEN PRINTS ON SOLID COLORS, COTTON OR COTTON BLEND, SHORT SLEEVES, PULLOVER",MORGANS INC,31-Oct-14,PO509110,36.25,11214
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4506450:MATS AND MATTING, RECYCLED, RUBBER",METROPOLITAN OFFICE PRODUCTS,18-Nov-14,PO510738,330,11215
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9980800:Arts and Crafts,SCHOOL SPECIALTY,12-Feb-15,PO515560,18.62,11216
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4854644:DISPENSERS, JUMBO TOILET TISSUE ROLL",General Merchandise Supplies,22-Oct-14,PO507874,59.4,11217
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7854400:Displays, Educational: Kits, Models, Plaques, etc.",THE WALKING CLASSROOM INSTITUT,17-Dec-14,PO512874,0,11218
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9982000:Buses, Transit and School",JC CHARTERS AND TOURS LLC,23-Feb-15,PO515990,650,11219
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2508000:Tests, Answer Sheets, Scoring Keys, etc. (For EDP Systems)",RIVERSIDE PUBLISHING,29-Jan-15,PO514850,635.4,11220
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2008830:COATS, CRUISER, MENS AND WOMENS, 100% WOOL, 4 POCKET, CAPED FRONT, FULL DOUBLE BACK CAPE POCKET, W/SHOULDER INSIGNIA",MORGANS INC,13-Feb-15,PO515691,45,11221
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY","CAPSTONE PRESS, INC",29-Dec-14,PO513534,18.49,11222
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9636400:Registration Fees,NATIONAL COUNCIL OF TEACHERS,30-Oct-14,PO508923,273,11223
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9155848:LABELING AND MAILING SERVICES, INCLUDING AFFIXING LABELS TO SELF-MAILERS OR ENVELOPES AND MAILING (LABELS AND ENVELOPES TO BE FURNISHED BY THE AGENCY/DEPT.) COST OF POSTAGE TO BE PAID DIRECT TO THE POST OFFICE BY AGENCY",MDM Office Systems DBA Standard Office Supply,15-Jan-15,PO514187,81.84,11224
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9816500:School Equipment and Supplies Rental or Lease,SCHOOL SPECIALTY,20-Feb-15,PO510397-V2,7.56,11225
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6154526:FOLDERS, FILE, COLORED STOCK, DOUBLE TOP, STANDARD HEIGHT, 11 POINT",SCHOOL SPECIALTY,13-Nov-14,PO510262,47.58,11226
DC PUBLIC LIBRARY,"9360900:Alarm Equipment Maintenance/Repair (Fire, etc.)","KEYSTONE US MANAGEMENT, INC",5-Nov-14,PO509454,1740,11227
DEPARTMENT OF HUMAN SERVICES,9613065:EMPLOYMENT AGENCY SERVICES. THE CONTRACTOR SHALL PROVIDE THE SERVICES OF THE TEMPORARY PERSONNEL AS SPECIFIED BY THE STATE.,MIDTOWN PERSONNEL INC,19-Nov-14,PO510820,33442.8,11228
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2045457:MICROCOMPUTERS, NOTEBOOK",Dell Computer Corp.,17-Dec-14,PO512955,2262,11229
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7857000:Instructional Aids: Courses, Lesson Plans (Prepared), Programs, Ancillary Materials, Videos, etc. (See Class 715 for Textbooks)",FOLLETT SCHOOL SOLUTIONS,24-Dec-14,PO513389,46.02,11230
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,3188800:Tokens,WASH METRO AREA TRANSIT AUTH,10-Nov-14,PO509996,300,11231
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),"SCHOLASTIC, INC.",26-Nov-14,PO511550,111.76,11232
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,10-Feb-15,PO515423,79.55,11233
METROPOLITAN POLICE DEPARTMENT,"2878000:Testing Equipment and Systems, Electronic Meter","MorphoTrak, Inc",17-Nov-14,PO510502,25422,11234
DEPARTMENT OF GENERAL SERVICES,9582600:Construction Management Services,"DC PEP, LLC",21-Oct-14,PO507751,903443.63,11235
DEPARTMENT OF GENERAL SERVICES,"6652448:LINERS, RECEPTACLE, DEGRADABLE, CLEAR OR OPAQUE, FOR WASTE",General Merchandise Supplies,14-Nov-14,PO510350,14971.56,11236
DEPARTMENT OF PUBLIC WORKS,9684431:GRAFFITI REMOVAL SERVICES,District Supply Inc.,29-Jan-15,PO514815,50000,11237
CHILD AND FAMILY SERVICES AGENCY,9182930:CONSULTING SERVICES RELATED TO THE IMPLEMENTATION OF SOFTWARE,"THE TRIAGE GROUP, LLC",12-Feb-15,PO515643,31320,11238
CHILD AND FAMILY SERVICES AGENCY,9524300:Family and Social Services (Including Shopping and Buying Services),Columbia Heights Shaw Collabrative,18-Nov-14,PO510662,32668,11239
DISTRICT DEPARTMENT OF THE ENVIRONMENT,"9159634:DEVELOPMENT SERVICES, WEB PAGE",Critigen LLC,10-Dec-14,PO512378,1039.34,11240
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE","ACCELA, INC.",1-Oct-14,PO505701,44532.2,11241
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"9204531:MAINTENANCE AND SUPPORT, SOFTWARE, MAINFRAME",Dell Computer Corp.,6-Oct-14,PO506276,577.46,11242
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS","Networking For Future, Inc.",8-Oct-14,PO506483,16831.44,11243
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046460:RACKS, FOR NETWORK COMPONENTS",R. REA CORPORATION,4-Mar-15,PO516499,77.65,11244
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,NEWTON G. OSBORNE,3-Oct-14,PO491220-V2,1500,11245
OFFICE OF THE ATTORNEY GENERAL,9615036:DEPOSITIONS AND EXPERT WITNESS TESTIMONY,Giarc Consulting. LLC,4-Nov-14,PO509317,1250,11246
OFFICE OF THE ATTORNEY GENERAL,9183800:Education and Training Consulting,KATHLEEN N. SYLVESTER,11-Dec-14,PO512473,3000,11247
DEPT. OF HOUSING AND COMM. DEVELOPMENT,9466000:Loan Administration,"GOLDEN RULE APARTMENTS, INC.",17-Oct-14,PO507613,790120.03,11248
DEPARTMENT OF CORRECTIONS,9613065:EMPLOYMENT AGENCY SERVICES. THE CONTRACTOR SHALL PROVIDE THE SERVICES OF THE TEMPORARY PERSONNEL AS SPECIFIED BY THE STATE.,"U.S. DRUG TESTING SERVICES, IN",24-Oct-14,PO508385,53000,11249
DEPARTMENT OF BEHAVIORAL HEALTH,"9204577:SUPPORT AND UPDATE SERVICES, MICROCOMPUTER SOFTWARE",COMPUTER ENGINEER ASSOC. INC.,6-Oct-14,PO506269,4152,11250
DEPARTMENT OF BEHAVIORAL HEALTH,9183200:Consulting Services (Not Otherwise Classified),MCMURRAY DISPUTE RESOLUTION,29-Dec-14,PO513462,5000,11251
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),"PATHWAYS TO HOUSING DC, INC.",8-Jan-15,PO513730,5766.4,11252
DEPARTMENT OF TRANSPORTATION,8450630:CONCRETE TESTING EQUIPMENT AND ACCESSORIES,HOGENTOGLERT CO. INC.,25-Feb-15,PO516079,2384,11253
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9248600:Vocational Training, All Types  (Including Vocational Rehabilitation and Technical Education)",INTERNATIONAL INSTITUTE FOR,13-Jan-15,PO513991,9466.72,11254
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9090300:Administration of Contracts: Summary of Work, Quality Control, Project Closeout, etc.",MORGANS INC,18-Dec-14,PO512999,194.95,11255
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8055135:GAMES, PLAYGROUND",S&S WORLDWIDE INC.,23-Jan-15,PO514549,50.37,11256
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9204584:TECHNICAL SUPPORT, ONLINE ELECTRONIC","LAZEL, Inc dba Learning A-Z",3-Dec-14,PO511910,2718.4,11257
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2009241:COVERALLS, WORK, COTTON, LONG SLEEVE, SHIRT TYPE COLLAR, INSIDE FRONT ZIPPER W/SNAP FLAP",MORGANS INC,13-Nov-14,PO510220,30,11258
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9620500:Amusement and Entertainment Services (Incl. Performing Arts Professionals),CLASS ACTS ARTS,27-Feb-15,PO516193,1315,11259
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9980800:Arts and Crafts,SCHOOL SPECIALTY,12-Feb-15,PO515560,4.35,11260
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",MONTESSORI SERVICES,21-Nov-14,PO511082,4.5,11261
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2001072:SHIRTS, ATHLETIC TANK STYLE, 100% NYLON, MICRO MESH, 2-PLY, REVERSIBLE",General Merchandise Supplies,29-Jan-15,PO514798,790,11262
DEPARTMENT OF HUMAN SERVICES,"6151400:Boards: Calendar, Schedule, Dispatch, Manning, etc.",American Business Supplies LLC,10-Dec-14,PO512415,6000,11263
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),Woodwind & Brasswind Inc,13-Jan-15,PO513979,73,11264
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4851048:BRUSHES/MOPS, COMMODE/TOILET",General Merchandise Supplies,20-Oct-14,PO507692,358.5,11265
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2066100:Monitors, Color and Monochrome (CGA, VGA, SVGA, etc.)",APPLE COMPUTER INC,5-Feb-15,PO515205,14190,11266
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9616800:Sports Professionals Services (Including Sports and Recreational Programs and Referee/Umpire Services),"M&D TIMING, LLC",1-Dec-14,PO511672,1570,11267
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,"SPORTS FOR SHARING, INC",24-Nov-14,PO511133,3400,11268
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BINDERS, RECYCLED, 3 RING, LOOSE LEAF, POLYETHYLENE FLEXIBLE COVER FOR 11 IN. X 8-1/2 IN. SHEETS,. AVAILABLE IN ROYAL BLUE, WHITE, BLACK, GREEN, AND RED",MDM Office Systems DBA Standard Office Supply,29-Oct-14,PO508749,438.18,11269
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN","Miles Away Charter, LLC",16-Oct-14,PO507467,2550,11270
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,24,11271
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",SCHOOL SPECIALTY,4-Mar-15,PO516451,18.19,11272
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),GREAT AMERICAN CORP,10-Nov-14,PO506689-V2,1080,11273
DEPARTMENT OF BEHAVIORAL HEALTH,9625800:Professional Services (Not Otherwise Classified),Norphil Comfort Care,12-Nov-14,PO510158,93536.64,11274
DEPARTMENT OF TRANSPORTATION,9189600:Transportation Consulting,UNITED STREETCAR LLC,13-Nov-14,PO510222,141474.55,11275
DEPARTMENT OF TRANSPORTATION,9625800:Professional Services (Not Otherwise Classified),LEFTWICH & LUDAWAY,3-Dec-14,PO511869,112000,11276
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9246400:Partnering Workshop Facilitation Services,Live It Learn It,13-Jan-15,PO514003,5500,11277
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6552000:Camera Attachments: Adapter Rings, Collimators, Filters, Lenses, etc.","CDW Government, Inc.",18-Dec-14,PO513092,2390.05,11278
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9090300:Administration of Contracts: Summary of Work, Quality Control, Project Closeout, etc.","Innovations for Learning, Inc",16-Dec-14,PO512738,1500,11279
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9816500:School Equipment and Supplies Rental or Lease,G-LAND UNIFORMS INC.,6-Feb-15,PO515279,188,11280
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"BATTERIES, CARBON ZINC, HEAVY DUTY INDUSTRIAL, HEAVY DUTY AND GENERAL PURPOSE, FOR FLASHLIGHTS AND LANTERNS (EXCLUDING ELESCTRONIC, COMMUNICATION, AND CAMERA),""BEST IF USED BY"" LABELED",PREMIER OFFICE & MEDICAL SUPPLY DBA: Premier Suppliers,30-Dec-14,PO512157-V2,498.75,11281
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4754819:CLEANER, SURGICAL INSTRUMENT, FOR HAND WASHING OF INSTRUMENTS. DILUTION RATIO 1/2 OZ. PER GAL. WATER",WILLIAM V. MACGILL & CO.,10-Feb-15,PO515458,106.45,11282
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",J W PEPPER & SON INC,10-Nov-14,PO510013,60,11283
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8309500:Recycled Tanks, Accessories and Supplies",FOLLETT SCHOOL SOLUTIONS,18-Nov-14,PO510707,249.7,11284
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9982400:Chemicals, All Types",WARDS NATURAL SCIENCE,30-Dec-14,PO513597,321.3,11285
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7857000:Instructional Aids: Courses, Lesson Plans (Prepared), Programs, Ancillary Materials, Videos, etc. (See Class 715 for Textbooks)",FOLLETT SCHOOL SOLUTIONS,12-Dec-14,PO512571,4050,11286
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9980800:Arts and Crafts,SCHOOL SPECIALTY,12-Feb-15,PO515560,7.6,11287
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9247600:Student Activities Services,HARPERS FERRY ADVENTURE CENTER,24-Oct-14,PO508335,6000,11288
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8056060:MATS, EXERCISE",METROPOLITAN OFFICE PRODUCTS,13-Nov-14,PO510259,194.85,11289
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2045446:MICROCOMPUTERS, LAPTOP",APPLE COMPUTER INC,19-Dec-14,PO513185,347.5,11290
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,7853200:Classroom Equipment and Supplies (Not Otherwise Classified),Woodwind & Brasswind Inc,13-Jan-15,PO513979,5.25,11291
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"4851048:BRUSHES/MOPS, COMMODE/TOILET",AMERICAN EXPRESS COMPANY,3-Dec-14,PO511904,14865.94,11292
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9611500:Concessions, Catering, Vending: Mobile and Stationary",GREAT AMERICAN CORP,22-Jan-15,PO514470,3495,11293
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",NIENHUIS MONTESSORI USA INC,21-Nov-14,PO511087,64.2,11294
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9183800:Education and Training Consulting,Eastern Educational Resource C,18-Feb-15,PO515730,2000,11295
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,12.41,11296
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,2076755:SURGE PROTECTORS,AMERICAN EXPRESS COMPANY,27-Feb-15,PO516209,5958.06,11297
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",MACKIN LIBRARY MEDIA,18-Dec-14,PO513048,13.67,11298
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",WEST MUSIC,21-Nov-14,PO511103,92.06,11299
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,23.95,11300
STATE SUPERINTENDENT OF EDUCATION (OSSE),9625800:Professional Services (Not Otherwise Classified),"NCS PEARSON, INC",3-Dec-14,PO511860,480350.04,11301
D.C. DEPARTMENT OF HUMAN RESOURCES,"6003850:COPIERS, COLOR, NEW",CANON FINANCIAL SERVICES,18-Dec-14,PO507184,142895.24,11302
DC PUBLIC LIBRARY,"9060000:ARCHITECTURAL SERVICES, PROFESSIONAL",WIENCEK & ASSOCIATES ARCHITECT,15-Dec-14,PO394500-V6,59278,11303
DC PUBLIC LIBRARY,9183800:Education and Training Consulting,THOMAS A. NEVILLE,13-Jan-15,PO514078,4750,11304
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"2009210:APPAREL, WORK, (MISC)",MORGANS INC,12-Nov-14,PO510062,80,11305
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9204520:MAINTENANCE AND LICENSE AGREEMENT SERVICES, MICROCOMPUTER SOFTWARE",IMAGE TAG INC,24-Nov-14,PO511187,7190,11306
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,3184000:Locks and Keys,DALLAS MIDWEST LLC,12-Feb-15,PO515576,1229.67,11307
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,0207800:Recycled Agricultural Equipment Accessories and Supplies,Capital Services and Supplies,2-Mar-15,PO516333,25.9,11308
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"8056200:Physical Education Equipment, Adaptive: Body Alignment Wedges, Mobile Mats, Stimulation Boards, Straddle Seats, Vestibular Boards, etc.",NASCO,24-Dec-14,PO513365,16.16,11309
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",MONTESSORI SERVICES,21-Nov-14,PO511083,159,11310
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9103957:JANITORIAL/CUSTODIAL SERVICES,General Merchandise Supplies,17-Nov-14,PO510543,146.85,11311
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7854400:Displays, Educational: Kits, Models, Plaques, etc.",BSN SPORTS,18-Feb-15,PO515755,55.99,11312
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"9246031:CLASSES, SEMINARS AND WORKSHOPS (NOT FOR CREDIT)",WASHINGTON DRAMA SOCIETY,10-Feb-15,PO515378,2500,11313
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6350700:Cleaner and Conditioner, Paint Brush",SCHOOL SPECIALTY,4-Dec-14,PO511998,27.9,11314
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"1250532:ADHESIVE, PADDING, FOR USE ON RECYCLED CARBONLESS PAPER",General Merchandise Supplies,24-Nov-14,PO511198,12.94,11315
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7151037:BOOKS, LIBRARY",FOLLETT SCHOOL SOLUTIONS,9-Feb-15,PO515299,3.24,11316
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"0375257:PENS AND PENCILS, IMPRINTED",THOMAS E. HENDERSON DBA LT Printing and Promotion,18-Nov-14,PO510674,120,11317
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"7855378:TOYS AND ENABLING DEVICES, FOR SPECIAL NEEDS CHILDREN",NIENHUIS MONTESSORI USA INC,19-Dec-14,PO512862,12.5,11318
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,9904200:Fire and Safety Services,LEVET BROWN,26-Nov-14,PO511456,2659.95,11319
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,12.61,11320
DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"6151511:BOOKS, COMPOSITION, BOUND STIFF COVERS, GOOD QUALITY BOND WRITING PAPER",FOLLETT SCHOOL SOLUTIONS,30-Dec-14,PO513596,25.54,11321
DEPARTMENT OF FORENSICS SCIENCES,"1751375:CHEMICALS, LABORATORY, REAGENTS",VWR INTERNATIONAL LLC,2-Mar-15,PO516279,386.87,11322
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,22-Oct-14,PO507910,14.64,11323
COUNCIL OF THE DISTRICT OF COLUMBIA,"6153301:ACCESSORIES, DESK",LASER ART INC,20-Oct-14,PO507655,31.83,11324
OFFICE OF POLICE COMPLAINTS,9610530:CONSUMER PROTECTION ARBITRATION SERVICES,SARAH CORDERO,6-Oct-14,PO506254,4000,11325
OFFICE ON AGING,9524000:Elderly Assistance Services,EAST RIVER FAMILY STREGTHENING,10-Feb-15,PO511005-V2,25000,11326
SPECIAL EDUCATION TRANSPORTATION,"9282450:MAINTENANCE AND REPAIR, SCHOOL BUSES",PRECISION TRUCK REPAIR INC,9-Oct-14,PO506862,530000,11327
OFFICE OF THE CHIEF TECHNOLOGY OFFICER,"2046447:HUBS, SWITCHES, AND CONVERTERS, COMPUTER","Networking For Future, Inc.",24-Dec-14,PO513399,56118.48,11328
